Level1: 10.44 seconds
Level1: 1 deaths
Level2: 17.89 seconds
Level2: 3 deaths
Level2: 8.39 seconds
Level2: 0 deaths
Level2: 6.58 seconds
Level2: 0 deaths
Level1: 9.19 seconds
Level1: 2 deaths
Level2: 4.98 seconds
Level2: 0 deaths
Level3: 10.67 seconds
Level3: 2 deaths
Level1: 6.94 seconds
Level1: 1 deaths
Level1: 18.94 seconds
Level1: 0 deaths
Level2: 7.69 seconds
Level2: 1 deaths
Level3: 7.55 seconds
Level3: 1 deaths
L9.tmx: Time: 18.32, Deaths: 0
L10.tmx: Time: 5.49, Deaths: 0
L11.tmx: Time: 4.55, Deaths: 0
L12.tmx: Time: 5.17, Deaths: 0
lvl1.tmx: Time: 5.26, Deaths: 0
lvl2.tmx: Time: 6.31, Deaths: 1
lvl1.tmx: Time: 4.33, Deaths: 0
lvl2.tmx: Time: 4.66, Deaths: 0
L7.tmx: Time: 4.61, Deaths: 0
L8.tmx: Time: 4.46, Deaths: 0
L9.tmx: Time: 18.26, Deaths: 0
L10.tmx: Time: 5.79, Deaths: 0
L11.tmx: Time: 5.05, Deaths: 0
L12.tmx: Time: 5.83, Deaths: 0
1,0,4
2,0,4
7,1,7
8,0,5
1,0,4
2,0,4
7,0,4
8,0,4
1,4,9
2,4,7
3,3,7
4,5,8
5,0,4
6,7,14
7,13,29
8,0,3
1,2,10
2,0,5
5,0,6
6,0,6
7,1,8
8,0,4
10,0,6
11,0,4
12,0,4
12,0,6
12,0,6
1,0,4
2,0,4
7,0,4
8,0,4
lvl1.tmx: Time: 4.73, Deaths: 0
lvl2.tmx: Time: 4.83, Deaths: 0
L7.tmx: Time: 10.53, Deaths: 2
L8.tmx: Time: 4.88, Deaths: 0
L9.tmx: Time: 61.03, Deaths: 3
L10.tmx: Time: 4.18, Deaths: 0
L11.tmx: Time: 4.57, Deaths: 0
L12.tmx: Time: 8.93, Deaths: 1
1,0,4
2,0,4
7,0,4
8,0,4
9,0,18
9,0,132
9,0,17
9,0,32
9,5,18
1,1,7
2,1,8
7,0,5
8,0,4
9,0,17
10,0,13
11,0,5
12,2,28
1,0,5
2,0,5
7,1,6
8,0,4
9,0,17
10,0,8
11,1,8
12,1,10
1,2,5
2,1,2
5,4,7
1,2,8
1,0,4
2,2,4
7,0,3
8,0,6
1,2,9
2,2,4
1,3,18
1,0,7
2,1,16
7,0,4
8,0,4
9,0,18
10,0,5
11,0,4
12,0,4
12,0,5
12,0,18
1,0,4
2,0,5
7,0,4
8,0,4
9,0,32
10,0,493
11,0,5
1,0,6
2,0,5
7,0,4
8,0,4
9,0,17
10,0,7
11,2,7
1,0,5
2,0,4
7,4,13
8,0,4
9,11,104
10,0,4
11,0,4
1,1,7
2,0,4
7,2,9
1,0,8
2,0,4
7,3,15
8,4,7
9,0,18
10,0,5
11,0,4
12,0,5
12,0,5
1,0,4
2,0,4
7,0,4
8,0,4
9,0,17
10,0,16
11,0,5
12,0,5
1,12,92
2,10,29
1,0,4
2,1,5
3,1,4
4,3,7
5,11,58
6,1,7
7,21,71
8,1,5
9,2,33
10,0,9
11,0,5
12,0,5
1,1,18
2,1,10
7,3,28
8,0,5
9,2,32
10,0,9
11,2,20
12,0,15
1,5,16
2,4,11
1,0,5
2,1,6
3,0,6
4,6,21
5,1,14
1,4,21
2,0,20
1,2,32
2,0,3
3,0,7
4,0,4
1,0,5
2,1,6
1,4,76
2,1,7
1,1,5
2,0,3
3,2,8
4,1,8
5,1,14
6,4,14
7,1,6
8,0,5
9,1,32
10,0,12
11,0,35
1,1,22
2,22,91
7,4,20
8,3,26
9,0,18
10,1,22
11,1,12
12,1,42
1,2,9
2,0,4
4,0,4
5,0,8
6,0,31
7,3,19
8,2,29
1,0,5
2,0,11
7,0,4
8,1,9
9,0,17
10,0,5
11,0,5
12,0,5
1,0,4
2,0,4
7,1,6
8,0,5
9,0,18
10,0,3
11,0,4
12,0,6
1,2,7
2,0,5
4,0,4
5,0,5
6,0,6
7,0,5
8,0,4
9,0,18
10,0,4
11,0,6
12,1,7
